id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
BZ7NP601JQ,勒流收费站(S47广佛江珠高速入口),道路附属设施;收费站;收费站,180200,[],顺德区,113.185152,22.859645,113.17977994173545,22.862369887607805,[],广东省,佛山市,顺德区,道路附属设施,收费站,收费站
BZ7NP601JT,勒流收费站(S47广佛江珠高速出口勒良路方向),道路附属设施;收费站;收费站,180200,[],顺德区,113.182668,22.862208,113.17729125396237,22.864927321026503,[],广东省,佛山市,顺德区,道路附属设施,收费站,收费站
BZ7NP601JR,西华收费站(S47广佛江珠高速出口),道路附属设施;收费站;收费站,180200,[],顺德区,113.191303,22.836596,113.18594336948809,22.8393407274604,[],广东省,佛山市,顺德区,道路附属设施,收费站,收费站
BZ7NP601JS,西华收费站(S47广佛江珠高速入口),道路附属设施;收费站;收费站,180200,[],顺德区,113.191915,22.836625,113.18655642318886,22.83937078416401,[],广东省,佛山市,顺德区,道路附属设施,收费站,收费站
BZ7PP601Y3,服务区,道路附属设施;道路附属设施;道路附属设施,180000,[],三龙湾大道入口南侧,113.240863,23.006061,113.23554647669728,23.008792113990687,[],广东省,佛山市,南海区,道路附属设施,道路附属设施,道路附属设施
B0FFH6IS8F,三龙湾收费站(S43广珠西线高速出口),道路附属设施;收费站;收费站,180200,[],南海区,113.223181,23.004936,113.21785399634038,23.00765596260329,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
B0FFH6KC73,三龙湾收费站(三龙湾大道出口),道路附属设施;收费站;收费站,180200,[],南海区,113.223008,23.00497,113.21768083473474,23.007689780546887,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7OP601CR,仙涌收费站(S5广台高速出口花卉大道方向),道路附属设施;收费站;收费站,180200,[],顺德区,113.198403,22.979929,113.1930456632248,22.982626977046586,[],广东省,佛山市,顺德区,道路附属设施,收费站,收费站
BZ7OP601CJ,潭洲会展收费站(S47广佛江珠高速出口乐从方向),道路附属设施;收费站;收费站,180200,[],顺德区,113.173327,22.930994,113.16792831916116,22.933667746081458,[],广东省,佛山市,顺德区,道路附属设施,收费站,收费站
BZ7OP601CL,潭洲会展收费站(S47广佛江珠高速入口高明方向),道路附属设施;收费站;收费站,180200,[],顺德区,113.173141,22.928597,113.16774213233153,22.93127140196186,[],广东省,佛山市,顺德区,道路附属设施,收费站,收费站
B0FFGQ9L5V,仙涌收费站(S5广台高速西向),道路附属设施;收费站;收费站,180200,[],顺德区,113.19978,22.979686,113.19442487242274,22.98238630299968,[],广东省,佛山市,顺德区,道路附属设施,收费站,收费站
BZ7MP600WF,裕源收费站(S47广佛江珠高速入口江门方向),道路附属设施;收费站;收费站,180200,[],工业一路与清北路交叉口东480米,113.19168,22.81873,113.18632221040174,22.82148199607732,[],广东省,佛山市,顺德区,道路附属设施,收费站,收费站
B0FFGQIPDF,容桂收费站(S43广珠西线高速出口),道路附属设施;收费站;收费站,180200,[],顺德区,113.313983,22.743909,113.30860751631592,22.74667497143235,[],广东省,佛山市,顺德区,道路附属设施,收费站,收费站
BZ7LP701DK,容桂收费站(S43广珠西线高速入口),道路附属设施;收费站;收费站,180200,[],顺德区,113.314468,22.743972,113.30909154700429,22.74673706288581,[],广东省,佛山市,顺德区,道路附属设施,收费站,收费站
BZ7SP500C8,佛高区乐平收费站(S16佛清从高速入口),道路附属设施;收费站;收费站,180200,[],三水区,113.034202,23.250592,113.02880809239907,23.25313204589068,[],广东省,佛山市,三水区,道路附属设施,收费站,收费站
B0FFGQ750A,乐平收费站(G15沈海高速出口),道路附属设施;收费站;收费站,180200,[],三水区,113.015977,23.295406,113.01063968405892,23.29798309172913,[],广东省,佛山市,三水区,道路附属设施,收费站,收费站
B0FFGQ9EU1,乐平收费站(G15沈海高速入口),道路附属设施;收费站;收费站,180200,[],三水区,113.016115,23.295165,113.01077722409616,23.297741754413707,[],广东省,佛山市,三水区,道路附属设施,收费站,收费站
BZ7PP5020T,务庄收费站(S16佛清从高速出口罗村方向),道路附属设施;收费站;收费站,180200,[],南海区,113.006319,23.040853,113.00103254185623,23.04355338102256,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7PP5020S,务庄收费站(S16佛清从高速入口北向),道路附属设施;收费站;收费站,180200,[],南海区,113.008092,23.040866,113.00279926648358,23.043561035777127,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7PP5020R,务庄收费站(S16佛清从高速出口罗村方向),道路附属设施;收费站;收费站,180200,[],南海区,113.008041,23.040895,113.00274844473203,23.04359017664137,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
